Date,Price,Open,High,Low,Volume,Chg%
"Jul 09, 2021","60,221.84","59,106.40","60,252.80","59,106.40",111.26M,1.89%
"Jul 08, 2021","59,106.40","60,705.57","60,718.82","58,975.24",136.81M,-2.63%
"Jul 07, 2021","60,705.57","59,756.87","60,861.96","59,729.39",117.89M,1.59%
"Jul 06, 2021","59,756.87","60,082.20","60,388.37","59,708.22",75.26M,-0.54%
"Jul 05, 2021","60,082.20","60,292.64","60,303.19","59,648.57",63.23M,-0.35%
"Jul 02, 2021","60,292.64","60,476.77","60,874.61","60,210.55",70.59M,-0.30%
"Jul 01, 2021","60,476.77","60,161.76","60,709.02","59,961.09",88.30M,0.52%
"Jun 30, 2021","60,161.76","60,495.83","60,598.66","60,018.97",139.78M,-0.55%
"Jun 29, 2021","60,495.83","59,820.66","60,770.24","59,782.29",103.28M,1.13%
"Jun 28, 2021","59,820.66","60,140.15","60,258.29","59,794.87",101.77M,-0.53%
"Jun 25, 2021","60,140.15","60,188.42","60,502.73","59,984.90",96.86M,-0.08%
"Jun 24, 2021","60,188.42","59,764.05","60,272.44","59,510.89",104.59M,0.71%
"Jun 23, 2021","59,764.05","59,493.46","60,038.37","59,477.02",89.09M,0.45%
"Jun 22, 2021","59,493.46","59,472.25","59,765.55","59,314.72",104.30M,0.04%
"Jun 21, 2021","59,472.25","59,503.87","59,657.89","58,955.86",108.04M,-0.05%
"Jun 18, 2021","59,503.87","60,399.88","60,443.27","59,503.87",256.45M,-1.48%
"Jun 17, 2021","60,399.88","61,061.79","61,076.51","60,297.32",434.01M,-1.08%
"Jun 15, 2021","61,061.79","61,653.75","61,729.08","60,850.67",129.53M,-0.96%
"Jun 14, 2021","61,653.75","61,444.66","61,947.91","61,369.68",76.85M,0.34%
"Jun 11, 2021","61,444.66","61,291.03","61,636.79","61,178.80",68.92M,0.25%
"Jun 10, 2021","61,291.03","61,433.18","61,812.35","61,231.02",84.82M,-0.23%
"Jun 09, 2021","61,433.18","61,452.39","61,504.54","61,108.05",114.87M,-0.03%
"Jun 08, 2021","61,452.39","61,387.75","61,723.89","61,227.24",97.40M,0.11%
"Jun 07, 2021","61,387.75","61,616.80","61,630.09","60,976.58",79.85M,-0.37%
"Jun 04, 2021","61,616.80","61,573.32","62,014.80","61,419.99",99.21M,0.07%
"Jun 03, 2021","61,573.32","62,786.67","62,786.67","61,387.90",118.39M,-1.93%
"Jun 02, 2021","62,786.67","62,698.90","63,063.44","62,652.06",108.96M,0.14%
"Jun 01, 2021","62,698.90","61,782.86","62,932.55","61,782.86",117.34M,1.48%
"May 31, 2021","61,782.86","61,345.49","61,930.14","61,345.12",66.01M,0.71%
"May 28, 2021","61,345.49","60,802.01","61,526.06","60,612.47",141.30M,0.89%
"May 27, 2021","60,802.01","60,093.24","60,807.71","59,983.65",224.67M,1.18%
"May 26, 2021","60,093.24","60,106.11","60,433.73","60,009.95",109.79M,-0.02%
"May 25, 2021","60,106.11","60,056.92","60,795.10","60,037.87",130.68M,0.08%
"May 24, 2021","60,056.92","60,210.00","60,487.72","59,957.26",92.31M,-0.25%
"May 21, 2021","60,210.00","60,068.05","60,723.75","60,051.63",104.34M,0.24%
"May 20, 2021","60,068.05","59,776.91","60,359.82","59,680.76",104.46M,0.49%
"May 19, 2021","59,776.91","61,189.94","61,193.04","59,644.90",116.64M,-2.31%
"May 18, 2021","61,189.94","61,193.22","61,950.04","60,986.71",108.20M,-0.01%
"May 17, 2021","61,193.22","60,573.37","61,329.85","60,573.37",97.65M,1.02%
"May 14, 2021","60,573.37","60,211.08","60,610.29","60,107.43",109.77M,0.60%
"May 13, 2021","60,211.08","61,529.14","61,533.67","59,492.47",145.00M,-2.14%
"May 12, 2021","61,529.14","61,320.37","62,501.49","61,320.37",93.80M,0.34%
"May 11, 2021","61,320.37","62,389.39","62,389.39","61,056.62",108.73M,-1.71%
"May 10, 2021","62,389.39","62,573.36","63,236.16","62,386.88",117.28M,-0.29%
"May 07, 2021","62,573.36","61,705.88","62,716.94","61,698.95",129.57M,1.41%
"May 06, 2021","61,705.88","61,536.47","61,796.05","61,172.16",139.93M,0.28%
"May 05, 2021","61,536.47","60,376.47","61,598.40","60,376.47",126.43M,1.77%
"May 04, 2021","60,466.82","60,769.69","61,378.29","60,184.29",0,-0.50%
"May 03, 2021","60,769.69","61,096.37","61,278.15","60,490.78",91.39M,-0.53%
"Apr 30, 2021","61,096.37","61,508.38","61,556.30","60,818.38",183.55M,-0.67%
"Apr 29, 2021","61,508.38","61,838.56","62,286.20","61,468.34",116.27M,-0.53%
"Apr 28, 2021","61,838.56","61,716.82","62,101.46","61,502.72",105.70M,0.20%
"Apr 26, 2021","61,716.82","61,478.76","61,752.09","61,397.05",72.26M,0.39%
"Apr 23, 2021","61,478.76","61,182.94","61,503.12","61,011.63",94.72M,0.48%
"Apr 22, 2021","61,182.94","61,399.26","61,645.79","60,992.11",92.35M,-0.35%
"Apr 21, 2021","61,399.26","61,116.77","61,493.83","60,709.04",110.56M,0.46%
"Apr 20, 2021","61,116.77","62,325.85","62,348.52","61,064.63",112.16M,-1.94%
"Apr 19, 2021","62,325.85","62,898.13","63,004.45","62,319.63",82.77M,-0.91%
"Apr 16, 2021","62,898.13","62,080.02","62,954.33","62,037.84",115.08M,1.32%
"Apr 15, 2021","62,080.02","62,084.39","62,375.26","61,936.44",119.06M,-0.01%
"Apr 14, 2021","62,084.39","61,382.99","62,162.28","61,377.89",144.02M,1.14%
"Apr 13, 2021","61,382.99","60,672.56","61,476.96","60,604.07",113.22M,1.17%
"Apr 12, 2021","60,672.56","61,458.47","61,458.47","60,535.01",103.88M,-1.28%
"Apr 09, 2021","61,458.47","61,303.19","61,529.54","61,133.11",86.07M,0.25%
"Apr 08, 2021","61,303.19","61,409.52","62,238.22","61,201.78",113.46M,-0.17%
"Apr 07, 2021","61,409.52","62,372.24","62,463.34","61,296.40",129.05M,-1.54%
"Apr 06, 2021","62,372.24","61,590.24","62,402.52","61,590.24",86.35M,1.27%
"Apr 01, 2021","61,590.24","60,881.15","61,890.23","60,847.03",143.39M,1.16%
"Mar 31, 2021","60,881.15","61,589.91","61,635.78","60,769.36",121.31M,-1.15%
"Mar 30, 2021","61,589.91","61,443.90","61,696.83","61,098.12",122.69M,0.24%
"Mar 29, 2021","61,443.90","61,244.27","61,765.44","60,979.38",117.33M,0.33%
"Mar 26, 2021","61,244.27","59,278.89","61,288.26","59,278.89",128.59M,3.32%
"Mar 25, 2021","59,278.89","59,768.81","59,892.25","58,980.48",146.31M,-0.82%
"Mar 24, 2021","59,768.81","59,793.26","59,943.96","58,810.62",138.42M,-0.04%
"Mar 23, 2021","59,793.26","60,313.40","60,328.29","59,657.69",169.56M,-0.86%
"Mar 19, 2021","60,313.40","61,050.33","61,056.44","59,987.65",245.76M,-1.21%
"Mar 18, 2021","61,050.33","60,810.17","61,795.87","60,810.17",339.53M,0.39%
"Mar 17, 2021","60,810.17","61,623.63","61,729.03","60,591.79",137.73M,-1.32%
"Mar 16, 2021","61,623.63","61,921.05","62,167.47","61,371.90",136.55M,-0.48%
"Mar 15, 2021","61,921.05","62,587.78","62,587.78","61,901.38",132.93M,-1.07%
"Mar 12, 2021","62,587.78","63,187.54","63,187.54","62,079.26",145.71M,-0.95%
"Mar 11, 2021","63,187.54","62,886.16","63,320.75","62,854.53",132.14M,0.48%
"Mar 10, 2021","62,886.16","63,098.33","63,098.33","62,415.47",116.35M,-0.34%
"Mar 09, 2021","63,098.33","62,910.60","63,487.75","62,493.77",136.52M,0.30%
"Mar 08, 2021","62,910.60","62,788.64","62,991.41","62,398.83",131.90M,0.19%
"Mar 05, 2021","62,788.64","62,250.03","62,981.87","62,038.76",102.05M,0.87%
"Mar 04, 2021","62,250.03","62,861.62","62,934.93","62,118.90",115.99M,-0.97%
"Mar 03, 2021","62,861.62","63,104.70","63,962.53","62,736.44",104.86M,-0.39%
"Mar 02, 2021","63,104.70","62,107.04","63,121.67","61,847.54",112.98M,1.61%
"Mar 01, 2021","62,107.04","60,754.30","62,410.78","60,754.30",106.79M,2.23%
"Feb 26, 2021","60,754.30","62,063.35","62,063.35","60,441.51",255.11M,-2.11%
"Feb 25, 2021","62,063.35","60,747.41","62,152.19","60,747.41",145.92M,2.17%
"Feb 24, 2021","60,747.41","60,493.97","61,464.77","60,274.14",130.63M,0.42%
"Feb 23, 2021","60,493.97","61,903.64","62,236.72","60,332.78",122.83M,-2.28%
"Feb 22, 2021","61,903.64","62,105.24","62,188.71","61,695.33",110.45M,-0.32%
"Feb 19, 2021","62,105.24","61,206.58","62,125.53","60,874.87",133.10M,1.47%
"Feb 18, 2021","61,206.58","61,738.47","61,766.77","61,163.77",157.98M,-0.86%
"Feb 17, 2021","61,738.47","61,775.45","62,174.56","61,670.11",128.12M,0.09%
"Feb 16, 2021","61,684.20","61,711.35","62,222.60","61,533.40",0,0.08%
"Feb 15, 2021","61,633.20","61,056.85","61,650.65","60,948.15",0,1.44%
"Feb 12, 2021","60,759.85","60,153.80","60,841.85","60,093.05",0,0.64%
"Feb 11, 2021","60,375.80","60,541.90","60,636.05","60,241.40",0,-0.39%
"Feb 10, 2021","60,613.45","59,954.10","60,661.25","59,937.20",0,1.49%
"Feb 09, 2021","59,722.00","59,597.50","59,814.70","59,492.40",0,0.14%
"Feb 08, 2021","59,635.70","59,416.70","59,864.20","59,303.30",0,1.26%
"Feb 05, 2021","58,894.85","58,757.15","59,157.60","58,654.60",0,0.63%
"Feb 04, 2021","58,527.15","57,903.30","58,629.00","57,832.20",0,1.15%
"Feb 03, 2021","57,864.10","57,656.00","58,097.20","57,634.70",0,0.47%
"Feb 02, 2021","57,591.20","58,214.90","58,296.40","57,497.50",0,-0.06%
"Feb 01, 2021","57,623.70","57,913.00","58,109.70","57,623.70",0,0.54%
"Jan 29, 2021","57,312.45","58,084.46","58,164.96","57,161.08",0,-1.33%
"Jan 28, 2021","58,084.46","57,644.44","58,200.08","57,202.91",111.06M,0.76%
"Jan 27, 2021","57,644.44","58,720.55","58,761.60","57,513.33",164.30M,-1.83%
"Jan 26, 2021","58,720.55","59,408.05","59,457.32","58,621.01",134.67M,-1.16%
"Jan 25, 2021","59,408.05","58,886.26","60,264.43","58,886.26",141.01M,0.89%
"Jan 22, 2021","58,886.26","58,969.37","59,226.72","58,689.04",111.58M,-0.14%
"Jan 21, 2021","58,969.37","58,857.76","59,255.11","58,854.06",126.42M,0.19%
"Jan 20, 2021","58,857.76","58,358.85","59,187.90","58,358.85",113.86M,0.85%
"Jan 19, 2021","58,358.85","58,548.17","58,830.21","58,297.65",106.40M,-0.32%
"Jan 18, 2021","58,548.17","58,446.35","58,674.91","58,330.64",83.06M,0.17%
"Jan 15, 2021","58,446.35","58,735.95","59,001.81","58,446.35",100.84M,-0.49%
"Jan 14, 2021","58,735.95","58,337.66","58,912.50","58,329.78",103.30M,0.68%
"Jan 13, 2021","58,337.66","58,492.92","58,843.92","58,319.56",140.68M,-0.27%
"Jan 12, 2021","58,492.92","58,717.77","58,936.26","58,330.63",118.90M,-0.38%
"Jan 11, 2021","58,717.77","58,423.34","58,927.79","58,295.01",109.73M,0.50%
"Jan 08, 2021","58,423.34","58,006.23","58,814.33","58,004.84",129.46M,0.72%
"Jan 07, 2021","58,006.23","56,877.60","58,006.24","56,697.25",109.10M,1.98%
"Jan 06, 2021","56,877.60","55,976.32","56,988.85","55,976.32",78.01M,1.61%
"Jan 05, 2021","55,976.32","55,438.07","56,138.55","55,368.84",123.69M,0.97%
"Jan 04, 2021","55,438.07","54,379.58","55,438.07","54,379.58",77.14M,1.95%
"Dec 31, 2020","54,379.58","54,615.33","54,615.33","53,932.88",34.17M,-0.43%
"Dec 30, 2020","54,615.33","54,196.13","54,973.53","54,196.13",43.84M,0.77%
"Dec 29, 2020","54,196.13","53,956.26","54,622.53","53,740.36",59.71M,0.44%
"Dec 28, 2020","53,956.26","54,125.23","54,202.40","53,445.40",39.24M,-0.31%
"Dec 24, 2020","54,125.23","53,958.73","54,125.23","53,719.50",18.13M,0.31%
"Dec 23, 2020","53,958.73","53,648.03","54,030.01","53,453.86",46.73M,0.58%
"Dec 22, 2020","53,648.03","53,784.25","53,786.79","53,374.07",83.48M,-0.25%
"Dec 21, 2020","53,784.25","54,692.40","54,744.43","53,193.24",140.08M,-1.66%
"Dec 18, 2020","54,692.40","55,484.28","55,484.28","54,692.40",274.52M,-1.43%
"Dec 17, 2020","55,484.28","54,466.51","55,563.14","54,418.14",384.44M,1.87%
"Dec 15, 2020","54,466.51","54,520.69","54,585.65","54,091.61",136.51M,-0.10%
"Dec 14, 2020","54,520.69","54,458.61","54,699.45","54,183.29",126.89M,0.11%
"Dec 11, 2020","54,458.61","54,334.20","54,461.54","53,965.31",173.02M,0.23%
"Dec 10, 2020","54,334.20","54,349.61","54,366.57","53,910.83",131.14M,-0.03%
"Dec 09, 2020","54,349.61","54,262.51","54,757.93","54,113.71",111.90M,0.16%
"Dec 08, 2020","54,262.51","54,646.92","54,706.01","54,076.05",110.79M,-0.70%
"Dec 07, 2020","54,646.92","54,500.04","54,646.92","54,090.11",137.76M,0.27%
"Dec 04, 2020","54,500.04","54,171.85","54,685.84","54,166.41",168.76M,0.61%
"Dec 03, 2020","54,171.85","53,482.74","54,366.35","53,482.74",292.48M,1.29%
"Dec 02, 2020","53,482.74","52,764.09","53,482.74","52,754.75",193.10M,1.36%
"Dec 01, 2020","52,764.09","52,375.50","52,946.38","52,317.30",128.29M,0.74%
"Nov 30, 2020","52,375.50","53,021.58","53,021.58","52,084.48",294.05M,-1.22%
"Nov 27, 2020","53,021.58","53,084.13","53,302.05","52,874.80",110.51M,-0.12%
"Nov 26, 2020","53,084.13","52,940.79","53,282.53","52,864.87",104.73M,0.27%
"Nov 25, 2020","52,940.79","53,049.43","53,111.42","52,773.88",143.42M,-0.20%
"Nov 24, 2020","53,049.43","52,478.55","53,186.25","52,470.10",150.55M,1.09%
"Nov 23, 2020","52,478.55","51,915.40","52,717.68","51,915.40",134.51M,1.08%
"Nov 20, 2020","51,915.40","51,977.91","52,231.92","51,749.05",131.05M,-0.12%
"Nov 19, 2020","51,977.91","52,518.35","52,526.28","51,825.09",139.32M,-1.03%
"Nov 18, 2020","52,518.35","52,288.79","52,739.24","51,936.84",142.65M,0.44%
"Nov 17, 2020","52,288.79","52,551.86","52,710.52","52,217.69",174.56M,-0.50%
"Nov 16, 2020","52,551.86","52,517.57","52,921.70","52,476.72",183.28M,0.07%
"Nov 13, 2020","52,517.57","52,335.71","52,558.16","52,081.97",155.25M,0.35%
"Nov 12, 2020","52,335.71","52,784.39","53,158.71","52,231.21",233.21M,-0.85%
"Nov 11, 2020","52,784.39","52,922.51","53,056.47","52,503.14",270.66M,-0.26%
"Nov 10, 2020","52,922.51","52,684.37","53,034.75","51,989.41",206.89M,0.45%
"Nov 09, 2020","52,684.37","51,876.24","53,452.15","51,837.10",229.06M,1.56%
"Nov 06, 2020","51,876.24","50,762.83","52,085.89","50,436.32",145.10M,2.19%
"Nov 05, 2020","50,762.83","49,300.89","50,782.49","49,300.89",139.35M,2.97%
"Nov 04, 2020","49,300.89","48,853.14","49,654.71","48,529.86",159.48M,0.92%
"Nov 03, 2020","48,853.14","48,392.97","49,278.27","48,392.97",121.24M,0.95%
"Nov 02, 2020","48,392.97","47,472.92","48,481.44","47,460.50",132.48M,1.94%
"Oct 30, 2020","47,472.92","47,576.46","47,822.83","46,976.12",168.69M,-0.22%
"Oct 29, 2020","47,576.46","47,930.58","48,484.62","47,108.35",141.81M,-0.74%
"Oct 28, 2020","47,930.58","49,560.81","49,875.70","47,888.66",139.73M,-3.29%
"Oct 27, 2020","49,560.81","50,286.90","50,521.54","49,466.77",104.24M,-1.44%
"Oct 26, 2020","50,286.90","50,692.28","50,702.11","50,218.79",91.75M,-0.80%
"Oct 23, 2020","50,692.28","50,276.84","50,946.62","50,261.67",183.85M,0.83%
"Oct 22, 2020","50,276.84","50,905.12","50,905.90","50,220.66",196.59M,-1.23%
"Oct 21, 2020","50,905.12","50,851.62","51,052.14","50,503.67",134.18M,0.11%
"Oct 20, 2020","50,851.62","50,741.94","50,910.58","50,418.43",109.01M,0.22%
"Oct 19, 2020","50,741.94","50,697.69","51,008.79","50,604.87",99.11M,0.09%
"Oct 16, 2020","50,697.69","50,503.89","50,874.63","50,503.89",93.78M,0.38%
"Oct 15, 2020","50,503.89","51,041.59","51,041.59","50,041.85",126.09M,-1.05%
"Oct 14, 2020","51,041.59","50,722.36","51,176.26","50,689.58",106.25M,0.63%
"Oct 13, 2020","50,722.36","51,158.56","51,257.17","50,650.22",96.25M,-0.85%
"Oct 12, 2020","51,158.56","50,781.18","51,357.47","50,780.78",88.40M,0.74%
"Oct 09, 2020","50,781.18","50,131.37","50,799.03","50,128.78",91.31M,1.30%
"Oct 08, 2020","50,131.37","50,412.19","50,597.09","50,036.65",117.67M,-0.56%
"Oct 07, 2020","50,412.19","49,869.36","50,412.19","49,693.53",108.42M,1.09%
"Oct 06, 2020","49,869.36","50,183.12","50,568.64","49,847.58",122.04M,-0.63%
"Oct 05, 2020","50,183.12","49,896.68","50,374.65","49,870.73",124.25M,0.57%
"Oct 02, 2020","49,896.68","50,159.14","50,200.88","49,520.04",165.55M,-0.52%
"Oct 01, 2020","50,159.14","50,042.44","50,521.24","49,970.97",116.65M,0.23%
"Sep 30, 2020","50,042.44","50,319.94","50,498.34","49,939.99",167.27M,-0.55%
"Sep 29, 2020","50,319.94","50,578.66","50,634.45","50,196.00",147.83M,-0.51%
"Sep 28, 2020","50,578.66","49,547.74","50,755.32","49,514.17",113.48M,2.08%
"Sep 25, 2020","49,547.74","50,127.05","50,129.38","48,912.36",128.85M,-1.16%
"Sep 23, 2020","50,127.05","49,126.16","50,517.43","49,060.56",127.79M,2.04%
"Sep 22, 2020","49,126.16","49,153.11","49,473.97","48,917.39",139.78M,-0.05%
"Sep 21, 2020","49,153.11","50,399.16","50,417.21","48,884.99",140.72M,-2.47%
"Sep 18, 2020","50,399.16","50,700.14","50,936.98","50,303.25",333.88M,-0.59%
"Sep 17, 2020","50,700.14","51,629.73","51,629.73","50,397.20",298.76M,-1.80%
"Sep 16, 2020","51,629.73","51,795.70","51,973.95","51,492.31",134.80M,-0.32%
"Sep 15, 2020","51,795.70","51,976.82","52,406.56","51,677.21",170.73M,-0.35%
"Sep 14, 2020","51,976.82","51,715.12","52,331.04","51,638.04",129.70M,0.51%
"Sep 11, 2020","51,715.12","51,532.12","51,894.15","51,382.93",149.06M,0.36%
"Sep 10, 2020","51,532.12","50,838.92","51,921.17","50,630.51",197.67M,1.36%
"Sep 09, 2020","50,838.92","50,182.96","50,877.92","50,182.96",190.89M,1.31%
"Sep 08, 2020","50,182.96","50,185.43","50,470.19","49,849.72",159.89M,0.00%
"Sep 07, 2020","50,185.43","49,720.42","50,306.40","49,654.43",88.04M,0.94%
"Sep 04, 2020","49,720.42","50,319.16","50,422.85","49,504.48",135.99M,-1.19%
"Sep 03, 2020","50,319.16","51,678.30","51,693.82","50,291.94",160.55M,-2.63%
"Sep 02, 2020","51,678.30","51,704.10","52,243.47","51,491.65",153.09M,-0.05%
"Sep 01, 2020","51,704.10","51,225.46","52,243.15","51,145.96",199.86M,0.93%
"Aug 31, 2020","51,225.46","51,750.45","52,225.90","51,038.80",246.78M,-1.01%
"Aug 28, 2020","51,750.45","52,583.70","52,656.60","51,517.68",112.92M,-1.58%
"Aug 27, 2020","52,583.70","52,256.85","53,075.70","52,244.28",122.17M,0.63%
"Aug 26, 2020","52,256.85","51,767.88","52,287.22","51,501.86",107.81M,0.94%
"Aug 25, 2020","51,767.88","52,256.84","52,481.95","51,694.44",117.28M,-0.94%
"Aug 24, 2020","52,256.84","51,669.18","52,715.19","51,617.79",120.35M,1.14%
"Aug 21, 2020","51,669.18","51,380.02","52,111.36","51,138.80",124.31M,0.56%
"Aug 20, 2020","51,380.02","52,137.86","52,137.86","51,020.66",145.04M,-1.45%
"Aug 19, 2020","52,137.86","52,738.12","52,738.12","52,069.34",139.43M,-1.14%
"Aug 18, 2020","52,738.12","53,140.21","53,321.89","52,547.98",142.46M,-0.76%
"Aug 17, 2020","53,140.21","52,737.48","53,380.34","52,681.12",125.63M,0.76%
"Aug 14, 2020","52,737.48","53,082.08","53,087.26","52,586.88",110.02M,-0.65%
"Aug 13, 2020","53,082.08","53,126.54","53,161.71","52,504.00",113.54M,-0.08%
"Aug 12, 2020","53,126.54","52,831.61","53,304.89","52,507.32",150.02M,0.56%
"Aug 11, 2020","52,831.61","52,435.65","53,340.44","52,138.13",148.90M,0.76%
"Aug 07, 2020","52,435.65","53,350.88","53,350.88","52,218.27",115.70M,-1.72%
"Aug 06, 2020","53,350.88","53,279.30","53,788.55","53,151.95",156.16M,0.13%
"Aug 05, 2020","53,279.30","51,951.34","53,469.53","51,951.34",142.32M,2.56%
"Aug 04, 2020","51,951.34","51,571.71","52,086.25","51,571.71",127.24M,0.74%
"Aug 03, 2020","51,571.71","51,368.82","52,040.71","51,124.50",139.53M,0.39%
"Jul 31, 2020","51,368.82","51,451.44","52,267.12","51,297.34",199.45M,-0.16%
"Jul 30, 2020","51,451.44","52,245.75","52,604.11","51,310.84",145.13M,-1.52%
"Jul 29, 2020","52,245.75","52,043.05","52,331.62","51,822.71",151.73M,0.39%
"Jul 28, 2020","52,043.05","51,914.08","52,140.05","51,565.73",137.85M,0.25%
"Jul 27, 2020","51,914.08","51,259.48","52,035.77","51,194.89",127.07M,1.28%
"Jul 24, 2020","51,259.48","51,683.61","51,683.61","50,870.54",144.92M,-0.82%
"Jul 23, 2020","51,683.61","51,412.02","52,067.49","51,412.02",147.45M,0.53%
"Jul 22, 2020","51,412.02","52,016.52","52,059.41","51,141.98",133.66M,-1.16%
"Jul 21, 2020","52,016.52","51,852.22","52,979.98","51,852.22",155.18M,0.32%
"Jul 20, 2020","51,852.22","51,515.88","52,040.51","51,297.46",132.48M,0.65%
"Jul 17, 2020","51,515.88","51,363.49","51,607.43","51,253.04",99.41M,0.30%
"Jul 16, 2020","51,363.49","51,606.70","51,615.59","50,602.07",138.11M,-0.47%
"Jul 15, 2020","51,606.70","51,235.09","52,098.85","51,207.95",159.09M,0.73%
"Jul 14, 2020","51,235.09","51,874.81","51,874.81","50,765.03",140.28M,-1.23%
"Jul 13, 2020","51,874.81","51,154.08","51,964.77","51,138.40",143.48M,1.41%
"Jul 10, 2020","51,154.08","51,536.91","51,695.46","50,769.03",184.36M,-0.74%
"Jul 09, 2020","51,536.91","51,558.75","52,201.40","51,536.91",197.12M,-0.04%
"Jul 08, 2020","51,558.75","50,922.32","51,605.34","50,813.45",185.94M,1.25%
"Jul 07, 2020","50,922.32","50,503.91","50,976.94","50,271.52",177.69M,0.83%
"Jul 06, 2020","50,503.91","50,179.89","50,881.46","50,162.58",103.92M,0.65%
"Jul 03, 2020","50,179.89","50,309.77","50,627.90","50,072.12",76.33M,-0.26%
"Jul 02, 2020","50,309.77","49,570.88","50,678.26","49,564.53",152.65M,1.49%
"Jul 01, 2020","49,570.88","50,174.95","50,374.73","49,372.58",212.33M,-1.20%
"Jun 30, 2020","50,174.95","49,920.09","50,371.03","49,842.37",232.33M,0.51%
"Jun 29, 2020","49,920.09","49,477.85","50,046.88","49,197.33",171.38M,0.89%
"Jun 26, 2020","49,477.85","49,732.92","50,180.48","49,464.47",149.34M,-0.51%
"Jun 25, 2020","49,732.92","50,193.80","50,193.80","49,442.07",247.95M,-0.92%
